ID;Recipe Name;Ingredient 1;Quantity 1 (kg);Ingredient 2;Quantity 2 (kg);Ingredient 3;Quantity 3 (kg);Instructions
AS6UDS;Banana Pancakes;mushrooms;0.47;Arborio rice;0.27;vegetable broth;0.82;Boil the pasta, cook the bacon, mix with beaten eggs
CL21BV;Mushroom Risotto;lettuce;0.75;croutons;0.26;Caesar dressing;0.1;Cook chicken in curry paste and coconut milk
XAX8O2;Pasta Carbonara;spinach;0.33;feta cheese;0.67;eggs;0.19;Combine lettuce, croutons, and dressing
NG40P3;Mushroom Risotto;beef;0.72;taco shells;0.25;salsa;0.58;Cook chicken in curry paste and coconut milk
28PPGE;Banana Pancakes;beef;0.55;taco shells;0.22;salsa;0.4;Cook beef, assemble in taco shells, top with salsa
WXF3W7;Vegetable Stir-Fry;butter;0.27;sugar;0.91;cocoa powder;0.83;Mix spinach and feta with beaten eggs, bake
EKQWC0;Spinach and Feta Quiche;pasta;0.23;eggs;0.83;bacon;0.74;Cook beef, assemble in taco shells, top with salsa
V0H6II;Caesar Salad;flour;0.5;bananas;0.55;milk;0.75;Stir-fry vegetables with soy sauce and garlic
ODXQ5F;Banana Pancakes;mixed vegetables;0.55;soy sauce;0.28;garlic;0.54;Sauté shrimp with lemon and garlic
WZ6PDW;Pasta Carbonara;beef;0.16;taco shells;0.17;salsa;0.96;Sauté shrimp with lemon and garlic
76HTER;Pasta Carbonara;shrimp;0.53;lemon;0.46;garlic;0.94;Sauté mushrooms, cook rice in vegetable broth
UXG5DD;Vegetable Stir-Fry;lettuce;0.5;croutons;0.13;Caesar dressing;0.12;Cook beef, assemble in taco shells, top with salsa
NPCWM0;Lemon Garlic Shrimp;flour;0.41;bananas;0.97;milk;0.36;Sauté shrimp with lemon and garlic
51IXC6;Lemon Garlic Shrimp;beef;0.94;taco shells;0.64;salsa;0.64;Sauté mushrooms, cook rice in vegetable broth
XGZMNF;Chicken Curry;pasta;0.81;eggs;0.79;bacon;0.57;Mix spinach and feta with beaten eggs, bake
CO5FWC;Beef Tacos;mushrooms;0.96;Arborio rice;0.85;vegetable broth;0.18;Cook chicken in curry paste and coconut milk
DWD6LI;Banana Pancakes;mushrooms;0.28;Arborio rice;0.17;vegetable broth;0.99;Cook beef, assemble in taco shells, top with salsa
ZFHL3Z;Banana Pancakes;spinach;0.22;feta cheese;0.84;eggs;0.4;Sauté mushrooms, cook rice in vegetable broth
QMEH5N;Chocolate Brownies;butter;0.23;sugar;0.15;cocoa powder;0.81;Stir-fry vegetables with soy sauce and garlic
V9K72D;Vegetable Stir-Fry;spinach;0.15;feta cheese;0.57;eggs;0.17;Sauté shrimp with lemon and garlic
81AZ2Y;Chocolate Brownies;mixed vegetables;0.94;soy sauce;0.3;garlic;0.56;Boil the pasta, cook the bacon, mix with beaten eggs
ARO1XS;Mushroom Risotto;pasta;0.97;eggs;0.92;bacon;0.24;Sauté mushrooms, cook rice in vegetable broth
8JU1UR;Beef Tacos;lettuce;0.85;croutons;0.88;Caesar dressing;0.2;Stir-fry vegetables with soy sauce and garlic
Q4TUH4;Banana Pancakes;pasta;0.6;eggs;0.46;bacon;0.5;Cook chicken in curry paste and coconut milk
ETKTCY;Banana Pancakes;mushrooms;0.42;Arborio rice;0.15;vegetable broth;0.51;Boil the pasta, cook the bacon, mix with beaten eggs
TSPWIR;Beef Tacos;flour;0.55;bananas;0.93;milk;0.59;Cream butter and sugar, mix in cocoa powder, bake
F6AIXG;Chocolate Brownies;beef;0.51;taco shells;1.0;salsa;0.4;Mix flour, mashed bananas, and milk, cook pancakes
17DDUK;Spinach and Feta Quiche;beef;0.66;taco shells;0.72;salsa;0.13;Cook chicken in curry paste and coconut milk
CCI2JM;Pasta Carbonara;butter;0.83;sugar;0.8;cocoa powder;0.92;Sauté shrimp with lemon and garlic
MGHP6Z;Pasta Carbonara;spinach;0.18;feta cheese;0.89;eggs;0.61;Mix flour, mashed bananas, and milk, cook pancakes
Y7B0ST;Spinach and Feta Quiche;spinach;0.47;feta cheese;0.51;eggs;0.2;Cook chicken in curry paste and coconut milk
